"CTUID","CTNAME","Revenu médian du ménage","Zscore_revenu","Éduc - % postsec","Zscore_educ","% minorités visibles","Zscore_minvisible","Accès_bus","Zscore_bus","Accès_train","Zscore_train","Accès_métro","Zscore_métro","Accès_bixi","Zscore_bixi"
"4620410.02","0410.02","42680","-0.2765461788436","0.659893048","0.34497253098803","0.343269231","0.37752295162221","136.724276906","0.67936134057051","1.46305582487","1.0610864166823","24","-0.2570995767147","48","1.0223071606754"
"4620073.00","0073.00","27350","-0.947501138509","0.533333333","-0.64499047351982","0.28340081","0.024355814504471","107.648951255","0.066326492149033","1.4144772716","0.99936807455011","30","-0.10175814956842","4","-0.82000000014563"
"4620131.00","0131.00","20325","-1.2549674523805","0.769094139","1.1991546073454","0.47029703","1.1268669857199","208.981103521","2.2028508203804","1.66354242758","1.3158017160493","52","0.46782708330128","1","-0.94561185201979"
"4620515.04","0515.04","68596","0.85773097279948","0.62600321","0.079882760133507","0.39171123","0.66328499139757","36.5909857778","-1.4318857589649","0.0191063037624","-0.77343035186052","0","-0.87846528529983","60","1.524754568172"
"4620283.01","0283.01","50281","0.056130184392973","0.508143322","-0.84202930987581","0.252717391","-0.15664737656372","77.5057618868","-0.56922358722347","1.13696662936","0.64679485838403","6","-0.72312385815355","47","0.980436543384"
"4620416.02","0416.02","51901","0.12703344823237","0.531512605","-0.6592323937175","0.484896661","1.2129910190102","77.357312824","-0.57235354180435","1.37753781355","0.95243703283223","4","-0.77490433386897","60","1.524754568172"
"4620036.00","0036.00","34235","-0.64616226719157","0.782122905","1.301066944414","0.195928753","-0.49164670289096","141.967923029","0.78992030196528","0.491596924194","-0.17313792231901","46","0.312485656155","3","-0.86187061743701"
"4620237.00","0237.00","46265","-0.11963988201383","0.754789272","1.0872604780452","0.140983607","-0.81577116762899","169.335703655","1.3669526437205","0.655314963932","0.034863455029655","111","1.9953511169064","2","-0.9037412347284"
"4620117.00","0117.00","33419","-0.68187650379215","0.571860817","-0.34362456244165","0.806220096","3.108495789844","103.641402254","-0.018170143378252","0.824121213105","0.24932932811997","84","1.2963146947481","4","-0.82000000014563"
"4620584.00","0584.00","41551","-0.32595962629711","0.420123566","-1.5305288225826","0.089393939","-1.1201014814753","46.8253562323","-1.2161005321518","0.0522663506766","-0.73130099676845","0","-0.87846528529983","60","1.524754568172"
"4620286.00","0286.00","39935","-0.39668782034925","0.584463625","-0.24504411231251","0.575729069","1.7488164333947","79.4424621221","-0.52838948791067","1.16855436489","0.68692661483604","7","-0.69723362029583","58","1.4410133335892"
"4620462.01","0462.01","94630","1.9971726831667","0.730769231","0.89937326640948","0.121031746","-0.93346830264347","29.321694199","-1.5851541733803","0.89974543831","0.34540880127234","0","-0.87846528529983","60","1.524754568172"
"4620034.00","0034.00","33072","-0.69706380783677","0.493181818","-0.95905972079129","0.328","0.28744891078089","133.531722525","0.61204835104373","0.265694703642","-0.46014339279821","98","1.6587780247561","2","-0.9037412347284"
"4620450.00","0450.00","70277","0.93130405089456","0.710264901","0.73898630494848","0.081486776","-1.16674627472","34.9989153588","-1.4654535566124","0.354388840878","-0.34745878737927","0","-0.87846528529983","60","1.524754568172"
"4620258.00","0258.00","37487","-0.503830530151","0.42837274","-1.4660029418333","0.726251277","2.6367552897076","99.5287898436","-0.10488197443006","0.16159351328","-0.59240243409618","9","-0.64545314458041","28","0.18489481484765"
"4620282.00","0282.00","42340","-0.29142711076051","0.628131021","0.096526714891028","0.386634845","0.63333911463297","96.0467556683","-0.17829846229595","1.20664593674","0.7353214003029","7","-0.69723362029583","36","0.51985975317874"
"4620264.01","0264.01","54852","0.25619118378179","0.640732265","0.19509493125258","0.247093023","-0.18982583544869","77.297791899","-0.57360850285529","0.363069736389","-0.33642983647198","15","-0.49011171743412","13","-0.44316444452315"
"4620383.01","0383.01","80987","1.4000534062772","0.660337553","0.34844949445401","0.178333333","-0.59544306170563","56.4658882515","-1.0128360130874","0.414351132718","-0.27127757172544","2","-0.8266848095844","45","0.89669530880122"
"4620197.00","0197.00","36662","-0.53993867377292","0.566919192","-0.3822784574204","0.25941873","-0.1171158059969","101.548628525","-0.062294953574277","0.0190014860517","-0.77356352123044","12","-0.56778243100726","6","-0.73625876556285"
"4620059.00","0059.00","46014","-0.13062551116425","0.745098039","1.0114546646545","0.241635688","-0.22201895739928","189.407551217","1.7901548521981","1.41368598996","0.99836276278816","158","3.2121922962189","2","-0.9037412347284"
"4620511.01","0511.01","72714","1.0379653187814","0.650283554","0.26980608839578","0.279179811","-0.0005440927873348","24.0166116889","-1.6970084821327","0.762112228425","0.17054781911783","0","-0.87846528529983","60","1.524754568172"
"4620521.05","0521.05","135551","3.7881803742605","0.705570292","0.7022645943265","0.234243697","-0.26562472243307","27.7513511228","-1.6182638637495","0.191984928417","-0.55379058522365","0","-0.87846528529983","60","1.524754568172"
"4620279.00","0279.00","46719","-0.099769461160071","0.696531792","0.63156452506478","0.228677379","-0.2984607411473","208.247389828","2.1873809313077","0.744516519681","0.1481927282553","65","0.80440017545155","5","-0.77812938285424"
"4620580.01","0580.01","53053","0.17745354696261","0.523529412","-0.72167774394483","0.098765432","-1.0648185243162","44.2295164621","-1.2708321715891","0.396115886847","-0.29444518516333","0","-0.87846528529983","60","1.524754568172"
"4620593.02","0593.02","44859","-0.18117691223493","0.521617852","-0.73663016131474","0.292045455","0.075351054984409","97.1628096929","-0.15476716919839","0","-0.79770463162212","14","-0.51600195529184","30","0.26863604943042"
"4620396.00","0396.00","57551","0.37431952273397","0.666324435","0.39527949634168","0.116117851","-0.96245564188275","54.886312947","-1.04614035915","0.482093167919","-0.18521230580387","0","-0.87846528529983","60","1.524754568172"
